# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Fri, 2024-03-15 15:15:34
# energy calib 0: 0.6693549
# energy calib 1: 0.8467742
# energy calib 2: 0
# live time (s): 1200.00
# real time (s): 1200.21
# column_1	column_2
227.604846	319.000000
228.451620	294.000000
229.298394	336.000000
230.145169	321.000000
230.991943	315.000000
231.838717	324.000000
232.685491	295.000000
233.532265	309.000000
234.379040	295.000000
235.225814	320.000000
236.072588	319.000000
236.919362	340.000000
237.766137	307.000000
238.612911	317.000000
239.459685	291.000000
240.306459	318.000000
241.153233	330.000000
242.000008	272.000000
242.846782	315.000000
243.693556	278.000000
244.540330	270.000000
245.387105	259.000000
246.233879	299.000000
247.080653	303.000000
247.927427	311.000000
248.774201	259.000000
249.620976	309.000000
250.467750	296.000000
251.314524	301.000000
252.161298	295.000000
253.008073	250.000000
253.854847	272.000000
254.701621	298.000000
255.548395	273.000000
256.395169	285.000000
257.241944	301.000000
258.088718	280.000000
258.935492	299.000000
259.782266	280.000000
260.629041	269.000000
