# exported by xylib from a canberra_cnf file

### block #0 Sample title.
# date and time: Fri, 2024-03-15 11:33:44
# energy calib 0: 0.6693549
# energy calib 1: 0.8467742
# energy calib 2: 0
# live time (s): 1200.00
# real time (s): 1200.17
# column_1	column_2
98.048390	209.000000
98.895164	208.000000
99.741939	197.000000
100.588713	218.000000
101.435487	213.000000
102.282261	262.000000
103.129036	230.000000
103.975810	236.000000
104.822584	244.000000
105.669358	255.000000
106.516132	238.000000
107.362907	239.000000
108.209681	245.000000
109.056455	245.000000
109.903229	263.000000
110.750004	242.000000
111.596778	267.000000
112.443552	268.000000
113.290326	257.000000
114.137100	276.000000
114.983875	257.000000
115.830649	306.000000
116.677423	266.000000
117.524197	273.000000
118.370972	291.000000
119.217746	239.000000
120.064520	286.000000
120.911294	305.000000
121.758068	298.000000
122.604843	269.000000
123.451617	283.000000
124.298391	296.000000
125.145165	294.000000
125.991939	315.000000
126.838714	259.000000
127.685488	289.000000
128.532262	308.000000
129.379036	290.000000
130.225811	292.000000
131.072585	306.000000
131.919359	303.000000
132.766133	310.000000
133.612907	326.000000
134.459682	297.000000
135.306456	336.000000
136.153230	335.000000
137.000004	314.000000
137.846779	324.000000
138.693553	304.000000
139.540327	331.000000
140.387101	324.000000
141.233875	311.000000
142.080650	359.000000
142.927424	332.000000
143.774198	326.000000
144.620972	354.000000
145.467747	321.000000
146.314521	315.000000
147.161295	333.000000
148.008069	318.000000
148.854843	312.000000
149.701618	317.000000
150.548392	319.000000
151.395166	292.000000
152.241940	315.000000
153.088715	350.000000
153.935489	322.000000
154.782263	327.000000
155.629037	321.000000
156.475811	324.000000
157.322586	316.000000
158.169360	309.000000
159.016134	326.000000
159.862908	341.000000
160.709683	308.000000
161.556457	329.000000
162.403231	321.000000
163.250005	366.000000
164.096779	328.000000
164.943554	316.000000
165.790328	298.000000
166.637102	328.000000
167.483876	311.000000
168.330651	322.000000
169.177425	340.000000
170.024199	345.000000
170.870973	347.000000
171.717747	312.000000
172.564522	325.000000
173.411296	318.000000
174.258070	327.000000
175.104844	317.000000
175.951618	304.000000
176.798393	319.000000
177.645167	336.000000
178.491941	327.000000
179.338715	313.000000
180.185490	350.000000
181.032264	331.000000
181.879038	296.000000
182.725812	301.000000
183.572586	332.000000
184.419361	292.000000
185.266135	302.000000
186.112909	292.000000
186.959683	310.000000
187.806458	357.000000
188.653232	313.000000
189.500006	310.000000
190.346780	345.000000
191.193554	303.000000
192.040329	327.000000
192.887103	290.000000
193.733877	313.000000
194.580651	298.000000
195.427426	277.000000
196.274200	280.000000
197.120974	308.000000
197.967748	342.000000
198.814522	293.000000
199.661297	288.000000
200.508071	309.000000
201.354845	304.000000
202.201619	303.000000
203.048394	301.000000
203.895168	316.000000
204.741942	274.000000
205.588716	291.000000
206.435490	257.000000
207.282265	315.000000
208.129039	292.000000
208.975813	291.000000
209.822587	271.000000
210.669362	287.000000
211.516136	276.000000
212.362910	290.000000
213.209684	292.000000
214.056458	260.000000
214.903233	286.000000
215.750007	319.000000
216.596781	261.000000
217.443555	290.000000
218.290330	274.000000
219.137104	246.000000
219.983878	286.000000
220.830652	275.000000
221.677426	309.000000
222.524201	266.000000
223.370975	303.000000
224.217749	275.000000
225.064523	274.000000
225.911298	268.000000
226.758072	262.000000
227.604846	270.000000
228.451620	283.000000
229.298394	281.000000
230.145169	258.000000
230.991943	268.000000
231.838717	254.000000
232.685491	276.000000
233.532265	289.000000
234.379040	250.000000
235.225814	280.000000
236.072588	243.000000
236.919362	258.000000
237.766137	286.000000
238.612911	264.000000
239.459685	276.000000
240.306459	274.000000
241.153233	261.000000
242.000008	260.000000
242.846782	283.000000
243.693556	274.000000
244.540330	239.000000
245.387105	306.000000
246.233879	297.000000
247.080653	278.000000
247.927427	241.000000
248.774201	254.000000
249.620976	256.000000
250.467750	264.000000
251.314524	228.000000
252.161298	271.000000
253.008073	261.000000
253.854847	260.000000
254.701621	239.000000
255.548395	267.000000
256.395169	259.000000
257.241944	254.000000
258.088718	222.000000
258.935492	247.000000
259.782266	278.000000
260.629041	258.000000
