Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4.01e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-6.280000e-06,0.032,0,0
-6.270000e-06,0.032,0,0
-6.260000e-06,0.032,0,0
-6.250000e-06,0.032,-0.0008,0
-6.240000e-06,0.04,0,0
-6.230000e-06,0.04,0,0
-6.220000e-06,0.032,0,0
-6.210000e-06,0.032,0,0
-6.200000e-06,0.032,0,0
-6.190000e-06,0.032,0,0
-6.180000e-06,0.024,0,0
-6.170000e-06,0.04,0,0.08
-6.160000e-06,0.032,0,0
-6.150000e-06,0.024,0,0
-6.140000e-06,0.032,0,0
-6.130000e-06,0.032,0,0
-6.120000e-06,0.024,0,0
-6.110000e-06,0.024,-0.0008,0
-6.100000e-06,0.032,0,0.08
-6.090000e-06,0.032,0,0
-6.080000e-06,0.032,-0.0008,0
-6.070000e-06,0.032,0.0008,0
-6.060000e-06,0.032,0,0
-6.050000e-06,0.032,0,0.08
-6.040000e-06,0.024,0,0
-6.030000e-06,0.032,0,0
-6.020000e-06,0.032,0,0
-6.010000e-06,0.024,0.0008,0
-6.000000e-06,0.032,0,0
-5.990000e-06,0.032,0,0
-5.980000e-06,0.032,0,0
-5.970000e-06,0.024,0,0
-5.960000e-06,0.024,0,0
-5.950000e-06,0.024,0,0
-5.940000e-06,0.032,0,0
-5.930000e-06,0.024,0,0
-5.920000e-06,0.04,0,0
-5.910000e-06,0.024,-0.0008,0
-5.900000e-06,0.024,0,0
-5.890000e-06,0.04,0,0
-5.880000e-06,0.04,0,0
-5.870000e-06,0.024,0,0
-5.860000e-06,0.032,0,0
-5.850000e-06,0.024,-0.0008,0
-5.840000e-06,0.024,0,0
-5.830000e-06,0.04,0,0
-5.820000e-06,0.032,0,0
-5.810000e-06,0.032,0,0
-5.800000e-06,0.032,0,0
-5.790000e-06,0.032,0,0
-5.780000e-06,0.032,0,0
-5.770000e-06,0.04,0,0
-5.760000e-06,0.032,0,0
-5.750000e-06,0.032,0,0
-5.740000e-06,0.032,0,0
-5.730000e-06,0.024,0,0
-5.720000e-06,0.032,-0.0008,0
-5.710000e-06,0.032,0,0
-5.700000e-06,0.032,0,0
-5.690000e-06,0.024,-0.0008,0
-5.680000e-06,0.032,-0.0008,0
-5.670000e-06,0.04,0,0.08
-5.660000e-06,0.032,0,0
-5.650000e-06,0.024,-0.0008,0
-5.640000e-06,0.04,0,0
-5.630000e-06,0.032,0,0
-5.620000e-06,0.032,0.0008,0
-5.610000e-06,0.032,0,0
-5.600000e-06,0.032,0,0
-5.590000e-06,0.04,0,0
-5.580000e-06,0.024,0,0
-5.570000e-06,0.032,0.0008,0
-5.560000e-06,0.032,0,0
-5.550000e-06,0.032,0,0
-5.540000e-06,0.032,0,0
-5.530000e-06,0.032,0,0.08
-5.520000e-06,0.024,0,0
-5.510000e-06,0.024,0,0
-5.500000e-06,0.032,0,0
-5.490000e-06,0.024,0,0
-5.480000e-06,0.024,0,0
-5.470000e-06,0.032,0,0
-5.460000e-06,0.032,-0.0008,0
-5.450000e-06,0.032,0,0.08
-5.440000e-06,0.032,0,0
-5.430000e-06,0.04,0,0
-5.420000e-06,0.04,0,0.08
-5.410000e-06,0.032,0.0008,0
-5.400000e-06,0.024,0,0
-5.390000e-06,0.032,0,0
-5.380000e-06,0.032,0.0008,0.08
-5.370000e-06,0.032,0,0
-5.360000e-06,0.032,0,0
-5.350000e-06,0.032,0,0
-5.340000e-06,0.032,0,0
-5.330000e-06,0.04,0,0
-5.320000e-06,0.024,0,0
-5.310000e-06,0.032,0,0
-5.300000e-06,0.032,0,0
-5.290000e-06,0.032,0,0
-5.280000e-06,0.024,0,0
-5.270000e-06,0.04,0,0
-5.260000e-06,0.032,0,0
-5.250000e-06,0.032,0,0
-5.240000e-06,0.024,0,0
-5.230000e-06,0.032,0,-0.08
-5.220000e-06,0.032,0,0
-5.210000e-06,0.032,0,0
-5.200000e-06,0.032,0,0
-5.190000e-06,0.024,0,0
-5.180000e-06,0.032,-0.0008,0
-5.170000e-06,0.032,0,0
-5.160000e-06,0.032,0,0.08
-5.150000e-06,0.024,0,0
-5.140000e-06,0.032,0,0
-5.130000e-06,0.024,0,0
-5.120000e-06,0.032,0,0
-5.110000e-06,0.032,0,0
-5.100000e-06,0.032,0,0
-5.090000e-06,0.032,0,0.08
-5.080000e-06,0.032,0,0
-5.070000e-06,0.032,0,0
-5.060000e-06,0.032,0,0
-5.050000e-06,0.024,0,0
-5.040000e-06,0.032,0,0
-5.030000e-06,0.032,0,0
-5.020000e-06,0.032,0,0
-5.010000e-06,0.032,0,0
-5.000000e-06,0.032,0.0008,0.08
-4.990000e-06,0.032,0,0
-4.980000e-06,0.032,0,0
