#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 09:41:36
# Real time (s): 1222.790
# Live time (s): 1200.000
#
# Total counts:  2164782
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  5550
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
726	615.427	492	0.41
727	616.274	538	0.448333
728	617.121	457	0.380833
729	617.968	482	0.401667
730	618.815	459	0.3825
731	619.661	496	0.413333
732	620.508	502	0.418333
733	621.355	496	0.413333
734	622.202	478	0.398333
735	623.048	501	0.4175
736	623.895	485	0.404167
737	624.742	489	0.4075
738	625.589	464	0.386667
739	626.436	439	0.365833
740	627.282	455	0.379167
741	628.129	503	0.419167
742	628.976	429	0.3575
743	629.823	446	0.371667
744	630.669	451	0.375833
745	631.516	497	0.414167
746	632.363	430	0.358333
747	633.210	498	0.415
748	634.056	490	0.408333
749	634.903	439	0.365833
750	635.750	448	0.373333
751	636.597	475	0.395833
752	637.444	471	0.3925
753	638.290	474	0.395
754	639.137	475	0.395833
755	639.984	466	0.388333
756	640.831	466	0.388333
757	641.677	429	0.3575
758	642.524	458	0.381667
759	643.371	467	0.389167
760	644.218	418	0.348333
761	645.065	383	0.319167
762	645.911	443	0.369167
763	646.758	425	0.354167
764	647.605	494	0.411667
765	648.452	455	0.379167
766	649.298	424	0.353333
767	650.145	464	0.386667
768	650.992	430	0.358333
769	651.839	420	0.35
770	652.686	414	0.345
771	653.532	424	0.353333
772	654.379	436	0.363333
773	655.226	433	0.360833
774	656.073	475	0.395833
775	656.919	404	0.336667
776	657.766	445	0.370833
777	658.613	431	0.359167
778	659.460	403	0.335833
779	660.306	408	0.34
780	661.153	432	0.36
781	662.000	430	0.358333
782	662.847	428	0.356667
783	663.694	412	0.343333
784	664.540	435	0.3625
785	665.387	394	0.328333
786	666.234	434	0.361667
787	667.081	405	0.3375
788	667.927	398	0.331667
789	668.774	374	0.311667
790	669.621	444	0.37
791	670.468	404	0.336667
792	671.315	420	0.35
793	672.161	373	0.310833
794	673.008	413	0.344167
795	673.855	395	0.329167
796	674.702	450	0.375
797	675.548	384	0.32
798	676.395	372	0.31
799	677.242	379	0.315833
800	678.089	385	0.320833
801	678.936	372	0.31
802	679.782	381	0.3175
803	680.629	378	0.315
804	681.476	416	0.346667
805	682.323	378	0.315
806	683.169	386	0.321667
807	684.016	416	0.346667
808	684.863	422	0.351667
809	685.710	376	0.313333
810	686.556	342	0.285
811	687.403	365	0.304167
812	688.250	385	0.320833
813	689.097	355	0.295833
814	689.944	395	0.329167
815	690.790	431	0.359167
816	691.637	336	0.28
817	692.484	387	0.3225
818	693.331	396	0.33
819	694.177	402	0.335
820	695.024	396	0.33
821	695.871	405	0.3375
822	696.718	398	0.331667
823	697.565	365	0.304167
824	698.411	373	0.310833
825	699.258	385	0.320833
826	700.105	371	0.309167
827	700.952	396	0.33
828	701.798	380	0.316667
829	702.645	349	0.290833
830	703.492	386	0.321667
831	704.339	415	0.345833
832	705.186	350	0.291667
833	706.032	357	0.2975
834	706.879	362	0.301667
835	707.726	352	0.293333
836	708.573	331	0.275833
837	709.419	365	0.304167
838	710.266	356	0.296667
839	711.113	355	0.295833
840	711.960	372	0.31
841	712.806	344	0.286667
842	713.653	338	0.281667
843	714.500	354	0.295
844	715.347	372	0.31
845	716.194	341	0.284167
846	717.040	376	0.313333
847	717.887	377	0.314167
848	718.734	350	0.291667
849	719.581	363	0.3025
850	720.427	389	0.324167
851	721.274	351	0.2925
852	722.121	352	0.293333
853	722.968	335	0.279167
854	723.815	369	0.3075
855	724.661	378	0.315
856	725.508	358	0.298333
857	726.355	362	0.301667
858	727.202	360	0.3
859	728.048	324	0.27
860	728.895	373	0.310833
861	729.742	340	0.283333
862	730.589	343	0.285833
863	731.436	383	0.319167
864	732.282	382	0.318333
865	733.129	344	0.286667
866	733.976	338	0.281667
867	734.823	322	0.268333
868	735.669	341	0.284167
869	736.516	354	0.295
870	737.363	322	0.268333
871	738.210	365	0.304167
872	739.056	360	0.3
873	739.903	335	0.279167
874	740.750	316	0.263333
875	741.597	346	0.288333
876	742.444	321	0.2675
877	743.290	327	0.2725
878	744.137	336	0.28
879	744.984	315	0.2625
880	745.831	308	0.256667
881	746.677	311	0.259167
882	747.524	322	0.268333
883	748.371	316	0.263333
884	749.218	303	0.2525
885	750.065	331	0.275833
886	750.911	348	0.29
887	751.758	321	0.2675
888	752.605	306	0.255
889	753.452	301	0.250833
890	754.298	311	0.259167
891	755.145	292	0.243333
892	755.992	351	0.2925
893	756.839	318	0.265
894	757.686	326	0.271667
895	758.532	329	0.274167
896	759.379	288	0.24
897	760.226	337	0.280833
898	761.073	324	0.27
899	761.919	311	0.259167
900	762.766	315	0.2625
901	763.613	308	0.256667
902	764.460	319	0.265833
903	765.306	322	0.268333
904	766.153	306	0.255
905	767.000	320	0.266667
906	767.847	325	0.270833
907	768.694	284	0.236667
908	769.540	293	0.244167
909	770.387	295	0.245833
910	771.234	285	0.2375
911	772.081	302	0.251667
912	772.927	311	0.259167
913	773.774	305	0.254167
914	774.621	303	0.2525
915	775.468	296	0.246667
916	776.315	290	0.241667
917	777.161	270	0.225
918	778.008	317	0.264167
919	778.855	290	0.241667
920	779.702	288	0.24
921	780.548	295	0.245833
922	781.395	280	0.233333
923	782.242	260	0.216667
924	783.089	296	0.246667
925	783.936	308	0.256667
926	784.782	267	0.2225
927	785.629	275	0.229167
928	786.476	270	0.225
929	787.323	280	0.233333
930	788.169	282	0.235
931	789.016	293	0.244167
932	789.863	297	0.2475
933	790.710	283	0.235833
934	791.556	300	0.25
935	792.403	260	0.216667
936	793.250	250	0.208333
937	794.097	264	0.22
938	794.944	269	0.224167
939	795.790	269	0.224167
940	796.637	257	0.214167
941	797.484	298	0.248333
942	798.331	266	0.221667
943	799.177	271	0.225833
944	800.024	278	0.231667
945	800.871	270	0.225
946	801.718	289	0.240833
947	802.565	257	0.214167
948	803.411	265	0.220833
949	804.258	283	0.235833
950	805.105	271	0.225833
951	805.952	276	0.23
952	806.798	242	0.201667
953	807.645	281	0.234167
954	808.492	266	0.221667
955	809.339	254	0.211667
956	810.186	266	0.221667
957	811.032	253	0.210833
958	811.879	249	0.2075
959	812.726	256	0.213333
960	813.573	262	0.218333
961	814.419	265	0.220833
962	815.266	248	0.206667
963	816.113	245	0.204167
964	816.960	233	0.194167
965	817.806	297	0.2475
966	818.653	259	0.215833
967	819.500	254	0.211667
968	820.347	247	0.205833
969	821.194	248	0.206667
970	822.040	252	0.21
971	822.887	269	0.224167
972	823.734	239	0.199167
973	824.581	253	0.210833
974	825.427	257	0.214167
975	826.274	245	0.204167
976	827.121	219	0.1825
