Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-7.490000e-06,0.032,0,0.8
-7.480000e-06,0.024,0,0.8
-7.470000e-06,0.032,0,0.72
-7.460000e-06,0.024,0,0.8
-7.450000e-06,0.032,0,0.8
-7.440000e-06,0.032,0,0.72
-7.430000e-06,0.032,0,0.8
-7.420000e-06,0.024,0,0.72
-7.410000e-06,0.032,0,0.72
-7.400000e-06,0.024,-0.0008,0.8
-7.390000e-06,0.032,0,0.72
-7.380000e-06,0.032,0,0.72
-7.370000e-06,0.032,0,0.72
-7.360000e-06,0.024,0,0.8
-7.350000e-06,0.032,0,0.8
-7.340000e-06,0.024,0,0.8
-7.330000e-06,0.024,0,0.72
-7.320000e-06,0.024,0,0.8
-7.310000e-06,0.032,0,0.72
-7.300000e-06,0.032,0,0.8
-7.290000e-06,0.032,0,0.72
-7.280000e-06,0.032,0,0.72
-7.270000e-06,0.024,0,0.72
-7.260000e-06,0.032,0,0.72
-7.250000e-06,0.032,0.0008,0.8
-7.240000e-06,0.032,0,0.72
-7.230000e-06,0.04,0,0.72
-7.220000e-06,0.024,0,0.72
-7.210000e-06,0.024,0,0.8
-7.200000e-06,0.032,0,0.8
-7.190000e-06,0.032,0,0.72
-7.180000e-06,0.024,0,0.8
-7.170000e-06,0.032,0,0.88
-7.160000e-06,0.032,0,0.8
-7.150000e-06,0.032,0,0.72
-7.140000e-06,0.032,0,0.64
-7.130000e-06,0.024,0,0.8
-7.120000e-06,0.04,0,0.72
-7.110000e-06,0.032,0.0008,0.8
-7.100000e-06,0.024,0,0.8
-7.090000e-06,0.024,0,0.8
-7.080000e-06,0.024,0,0.8
-7.070000e-06,0.024,0,0.72
-7.060000e-06,0.024,0,0.8
-7.050000e-06,0.032,-0.0008,0.8
-7.040000e-06,0.032,0,0.88
-7.030000e-06,0.032,0,0.72
-7.020000e-06,0.032,0,0.72
-7.010000e-06,0.04,0,0.72
-7.000000e-06,0.04,0,0.8
-6.990000e-06,0.024,-0.0008,0.8
-6.980000e-06,0.016,0,0.64
-6.970000e-06,0.032,0,0.8
-6.960000e-06,0.032,0,0.8
-6.950000e-06,0.032,0,0.8
-6.940000e-06,0.032,-0.0008,0.72
-6.930000e-06,0.024,0,0.8
-6.920000e-06,0.032,0,0.72
-6.910000e-06,0.032,0,0.8
-6.900000e-06,0.04,-0.0008,0.72
-6.890000e-06,0.032,0,0.8
-6.880000e-06,0.032,0,0.72
-6.870000e-06,0.032,0,0.8
-6.860000e-06,0.032,0,0.72
-6.850000e-06,0.032,0,0.72
-6.840000e-06,0.032,0,0.72
-6.830000e-06,0.024,0,0.8
-6.820000e-06,0.032,-0.0008,0.8
-6.810000e-06,0.032,0,0.8
-6.800000e-06,0.032,0,0.72
-6.790000e-06,0.04,0,0.72
-6.780000e-06,0.032,0,0.72
-6.770000e-06,0.032,0,0.8
-6.760000e-06,0.032,0,0.72
-6.750000e-06,0.032,-0.0008,0.8
-6.740000e-06,0.04,0,0.8
-6.730000e-06,0.032,0,0.8
-6.720000e-06,0.024,0,0.72
-6.710000e-06,0.032,0,0.8
-6.700000e-06,0.04,0,0.8
-6.690000e-06,0.032,-0.0008,0.8
-6.680000e-06,0.024,0,0.8
-6.670000e-06,0.024,0,0.72
-6.660000e-06,0.024,0,0.8
-6.650000e-06,0.032,0,0.72
-6.640000e-06,0.032,0,0.72
-6.630000e-06,0.032,0,0.72
-6.620000e-06,0.032,0,0.72
-6.610000e-06,0.032,0,0.72
-6.600000e-06,0.04,0,0.64
-6.590000e-06,0.032,-0.0008,0.72
-6.580000e-06,0.032,0,0.8
-6.570000e-06,0.024,0,0.72
-6.560000e-06,0.032,0,0.8
-6.550000e-06,0.024,0,0.72
-6.540000e-06,0.032,-0.0008,0.8
-6.530000e-06,0.024,0,0.72
-6.520000e-06,0.024,0,0.8
-6.510000e-06,0.04,0,0.8
-6.500000e-06,0.032,0,0.72
-6.490000e-06,0.024,0,0.72
-6.480000e-06,0.024,0,0.8
-6.470000e-06,0.04,0,0.8
-6.460000e-06,0.024,0,0.8
-6.450000e-06,0.04,0,0.8
-6.440000e-06,0.032,0,0.8
-6.430000e-06,0.032,0,0.8
-6.420000e-06,0.024,-0.0008,0.72
-6.410000e-06,0.032,0,0.72
-6.400000e-06,0.024,0,0.72
-6.390000e-06,0.04,0,0.72
-6.380000e-06,0.024,0,0.8
-6.370000e-06,0.032,0,0.72
-6.360000e-06,0.032,0,0.72
-6.350000e-06,0.032,0,0.8
-6.340000e-06,0.032,0,0.72
-6.330000e-06,0.032,0.0008,0.72
-6.320000e-06,0.024,0,0.72
-6.310000e-06,0.04,0,0.8
-6.300000e-06,0.024,0.0008,0.8
-6.290000e-06,0.032,0,0.8
-6.280000e-06,0.032,0,0.8
-6.270000e-06,0.032,0,0.72
-6.260000e-06,0.024,0,0.8
-6.250000e-06,0.024,0,0.8
-6.240000e-06,0.032,0,0.72
-6.230000e-06,0.032,0,0.72
-6.220000e-06,0.032,0,0.72
-6.210000e-06,0.032,0,0.72
-6.200000e-06,0.032,0,0.72
-6.190000e-06,0.032,0,0.8
-6.180000e-06,0.024,0,0.8
-6.170000e-06,0.032,0.0008,0.8
-6.160000e-06,0.016,0,0.72
-6.150000e-06,0.032,0,0.8
-6.140000e-06,0.032,0,0.72
-6.130000e-06,0.032,0,0.8
-6.120000e-06,0.024,0,0.8
-6.110000e-06,0.024,0,0.8
-6.100000e-06,0.024,0,0.72
-6.090000e-06,0.024,0,0.72
-6.080000e-06,0.024,0.0008,0.8
-6.070000e-06,0.024,0,0.72
-6.060000e-06,0.032,0,0.88
-6.050000e-06,0.032,0,0.72
-6.040000e-06,0.024,0,0.8
-6.030000e-06,0.032,0,0.72
-6.020000e-06,0.032,0,0.72
-6.010000e-06,0.032,0,0.8
-6.000000e-06,0.024,0,0.8
-5.990000e-06,0.024,0.0008,0.72
-5.980000e-06,0.04,0,0.72
-5.970000e-06,0.032,-0.0008,0.8
-5.960000e-06,0.032,0,0.72
-5.950000e-06,0.024,0,0.72
-5.940000e-06,0.024,0,0.72
-5.930000e-06,0.032,0,0.72
-5.920000e-06,0.032,0,0.72
-5.910000e-06,0.032,0,0.8
-5.900000e-06,0.032,0,0.8
-5.890000e-06,0.024,0,0.72
-5.880000e-06,0.032,0,0.8
-5.870000e-06,0.032,0,0.72
-5.860000e-06,0.032,0,0.72
-5.850000e-06,0.032,0,0.72
-5.840000e-06,0.024,0,0.72
-5.830000e-06,0.032,0,0.72
-5.820000e-06,0.032,-0.0008,0.8
-5.810000e-06,0.04,0,0.72
-5.800000e-06,0.04,0,0.72
-5.790000e-06,0.032,0,0.8
-5.780000e-06,0.024,0,0.72
-5.770000e-06,0.024,0,0.72
-5.760000e-06,0.024,0,0.72
-5.750000e-06,0.04,-0.0008,0.72
-5.740000e-06,0.032,0,0.72
-5.730000e-06,0.024,-0.0008,0.64
-5.720000e-06,0.032,0,0.72
-5.710000e-06,0.04,0,0.72
-5.700000e-06,0.032,0,0.72
-5.690000e-06,0.024,0,0.72
-5.680000e-06,0.024,-0.0008,0.8
-5.670000e-06,0.024,0,0.72
-5.660000e-06,0.032,0,0.72
-5.650000e-06,0.032,0,0.72
-5.640000e-06,0.016,0.0008,0.8
-5.630000e-06,0.032,0,0.72
-5.620000e-06,0.032,0,0.8
-5.610000e-06,0.032,0,0.72
-5.600000e-06,0.024,0,0.8
-5.590000e-06,0.024,0,0.8
-5.580000e-06,0.032,0,0.72
-5.570000e-06,0.024,0,0.72
-5.560000e-06,0.032,0.0008,0.72
-5.550000e-06,0.032,0,0.8
-5.540000e-06,0.032,0,0.8
-5.530000e-06,0.032,0,0.8
-5.520000e-06,0.032,0,0.72
-5.510000e-06,0.032,0,0.8
-5.500000e-06,0.032,0,0.88
-5.490000e-06,0.024,0,0.8
-5.480000e-06,0.032,0,0.8
-5.470000e-06,0.024,0,0.72
-5.460000e-06,0.032,-0.0008,0.8
-5.450000e-06,0.032,0,0.8
-5.440000e-06,0.04,0,0.72
-5.430000e-06,0.024,0,0.8
-5.420000e-06,0.032,0,0.72
-5.410000e-06,0.024,-0.0008,0.72
-5.400000e-06,0.024,0,0.8
-5.390000e-06,0.032,0,0.8
-5.380000e-06,0.032,0,0.8
-5.370000e-06,0.032,0,0.64
-5.360000e-06,0.032,0,0.72
-5.350000e-06,0.032,0,0.72
-5.340000e-06,0.024,0,0.72
-5.330000e-06,0.032,0,0.72
-5.320000e-06,0.024,0,0.72
-5.310000e-06,0.032,0,0.8
-5.300000e-06,0.032,0,0.8
-5.290000e-06,0.032,0,0.8
-5.280000e-06,0.032,0,0.72
-5.270000e-06,0.04,0,0.8
-5.260000e-06,0.032,0,0.8
-5.250000e-06,0.032,0,0.8
-5.240000e-06,0.032,0,0.72
-5.230000e-06,0.032,0,0.72
-5.220000e-06,0.032,0,0.8
-5.210000e-06,0.024,0,0.72
-5.200000e-06,0.032,0,0.8
-5.190000e-06,0.032,0,0.8
-5.180000e-06,0.032,-0.0008,0.8
-5.170000e-06,0.032,0,0.8
-5.160000e-06,0.032,-0.0008,0.72
-5.150000e-06,0.024,0,0.8
-5.140000e-06,0.024,0,0.8
-5.130000e-06,0.024,0,0.8
-5.120000e-06,0.032,0,0.8
-5.110000e-06,0.032,0,0.72
-5.100000e-06,0.04,0,0.72
-5.090000e-06,0.032,0,0.72
-5.080000e-06,0.04,-0.0008,0.8
-5.070000e-06,0.024,0,0.72
-5.060000e-06,0.024,0,0.72
-5.050000e-06,0.032,0,0.72
-5.040000e-06,0.024,0,0.8
-5.030000e-06,0.04,-0.0008,0.64
-5.020000e-06,0.032,0,0.72
-5.010000e-06,0.032,0,0.8
-5.000000e-06,0.032,0,0.8
-4.990000e-06,0.024,0.0008,0.8
-4.980000e-06,0.024,0,0.72
-4.970000e-06,0.032,0,0.72
-4.960000e-06,0.032,0,0.8
-4.950000e-06,0.024,0,0.72
-4.940000e-06,0.04,0,0.8
-4.930000e-06,0.032,0,0.8
-4.920000e-06,0.024,0,0.72
-4.910000e-06,0.032,0,0.72
-4.900000e-06,0.032,0,0.72
-4.890000e-06,0.032,0,0.8
-4.880000e-06,0.024,0,0.72
-4.870000e-06,0.032,0,0.88
-4.860000e-06,0.032,-0.0008,0.8
-4.850000e-06,0.032,0,0.72
-4.840000e-06,0.024,0,0.72
