Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,0
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.896800e-06,-0.0004
-1.896400e-06,-0.0004
-1.896000e-06,-0.0004
-1.895600e-06,-0.0004
-1.895200e-06,-0.0004
-1.894800e-06,-0.0004
-1.894400e-06,-0.0004
-1.894000e-06,0
-1.893600e-06,-0.0004
-1.893200e-06,-0.0004
-1.892800e-06,-0.0004
-1.892400e-06,-0.0004
-1.892000e-06,-0.0004
-1.891600e-06,-0.0004
-1.891200e-06,-0.0004
-1.890800e-06,-0.0004
-1.890400e-06,-0.0004
-1.890000e-06,-0.0004
-1.889600e-06,-0.0004
-1.889200e-06,-0.0004
-1.888800e-06,-0.0004
-1.888400e-06,-0.0008
-1.888000e-06,-0.0008
-1.887600e-06,-0.0004
-1.887200e-06,-0.0004
-1.886800e-06,-0.0004
-1.886400e-06,-0.0012
-1.886000e-06,-0.0004
-1.885600e-06,-0.0004
-1.885200e-06,0
-1.884800e-06,-0.0004
-1.884400e-06,-0.0004
-1.884000e-06,-0.0004
-1.883600e-06,-0.0004
-1.883200e-06,-0.0004
-1.882800e-06,-0.0004
-1.882400e-06,0
-1.882000e-06,-0.0004
-1.881600e-06,-0.0004
-1.881200e-06,-0.0004
-1.880800e-06,-0.0004
-1.880400e-06,-0.0004
-1.880000e-06,-0.0004
-1.879600e-06,-0.0004
-1.879200e-06,-0.0004
-1.878800e-06,-0.0004
-1.878400e-06,-0.0004
-1.878000e-06,-0.0004
-1.877600e-06,-0.0004
-1.877200e-06,-0.0004
-1.876800e-06,-0.0004
-1.876400e-06,-0.0004
-1.876000e-06,-0.0004
-1.875600e-06,-0.0004
-1.875200e-06,-0.0004
-1.874800e-06,-0.0004
-1.874400e-06,-0.0004
-1.874000e-06,0
-1.873600e-06,-0.0004
-1.873200e-06,-0.0004
-1.872800e-06,-0.0004
-1.872400e-06,-0.0004
-1.872000e-06,-0.0004
-1.871600e-06,-0.0004
-1.871200e-06,0
-1.870800e-06,0
-1.870400e-06,0
-1.870000e-06,0
-1.869600e-06,-0.0004
-1.869200e-06,-0.0004
-1.868800e-06,-0.0004
-1.868400e-06,-0.0004
-1.868000e-06,-0.0004
-1.867600e-06,-0.0004
-1.867200e-06,-0.0004
-1.866800e-06,-0.0004
-1.866400e-06,-0.0004
-1.866000e-06,-0.0004
-1.865600e-06,-0.0004
-1.865200e-06,-0.0004
-1.864800e-06,-0.0004
-1.864400e-06,-0.0008
-1.864000e-06,-0.0004
-1.863600e-06,0
-1.863200e-06,-0.0004
-1.862800e-06,0
-1.862400e-06,-0.0004
-1.862000e-06,-0.0004
-1.861600e-06,-0.0004
-1.861200e-06,-0.0008
-1.860800e-06,-0.0004
-1.860400e-06,-0.0004
-1.860000e-06,-0.0004
-1.859600e-06,-0.0004
-1.859200e-06,-0.0004
-1.858800e-06,-0.0004
-1.858400e-06,0
-1.858000e-06,-0.0004
-1.857600e-06,-0.0004
-1.857200e-06,0
-1.856800e-06,-0.0004
-1.856400e-06,0
-1.856000e-06,-0.0004
-1.855600e-06,-0.0004
-1.855200e-06,-0.0004
-1.854800e-06,-0.0004
-1.854400e-06,-0.0004
-1.854000e-06,-0.0004
-1.853600e-06,-0.0004
-1.853200e-06,-0.0004
-1.852800e-06,-0.0004
-1.852400e-06,-0.0004
-1.852000e-06,-0.0004
-1.851600e-06,0
-1.851200e-06,-0.0004
-1.850800e-06,-0.0004
-1.850400e-06,-0.0004
-1.850000e-06,-0.0004
-1.849600e-06,-0.0004
-1.849200e-06,0
-1.848800e-06,-0.0004
-1.848400e-06,-0.0004
-1.848000e-06,-0.0004
-1.847600e-06,-0.0004
-1.847200e-06,-0.0004
-1.846800e-06,-0.0004
-1.846400e-06,-0.0004
-1.846000e-06,-0.0004
-1.845600e-06,-0.0004
-1.845200e-06,-0.0004
-1.844800e-06,-0.0004
-1.844400e-06,-0.0004
-1.844000e-06,-0.0004
-1.843600e-06,-0.0004
-1.843200e-06,-0.0004
-1.842800e-06,-0.0004
-1.842400e-06,-0.0004
-1.842000e-06,-0.0008
-1.841600e-06,-0.0008
-1.841200e-06,-0.0004
-1.840800e-06,-0.0004
-1.840400e-06,-0.0004
-1.840000e-06,-0.0004
-1.839600e-06,-0.0004
