event	t0	dt	ADC0	ADC1	ADC2	ADC3	ADC4
225	187668222	112	18948	18948	18948	18948	18932
226	187861760	138	20901	20885	20901	20901	20885
227	188072960	105	19476	19460	19444	19444	19444
228	188274140	102	16596	16612	16580	16580	16596
229	188467609	104	21781	21797	21781	21765	21781
230	188668806	104	22837	22789	22789	22821	22773
231	188860305	107	22869	22853	22869	22853	22821
232	189054563	107	19732	19716	19732	19716	19716
233	189246712	103	22693	22693	22693	22677	22693
234	189436071	106	24421	24389	24373	24373	24357
235	189629845	106	19332	19300	19300	19284	19300
236	189829209	111	22373	22373	22357	22357	22357
237	190022761	101	19876	19876	19876	19860	19876
238	190492829	102	23957	23973	23957	23941	23909
239	190687156	120	19780	19780	19780	19796	19780
240	190880926	107	18132	18132	18132	18148	18116
241	191078734	108	24037	24021	24037	24005	24021
242	191276448	110	24293	24309	24261	24245	24245
243	191472473	103	22053	22021	22005	22021	22021
244	191677315	104	22293	22309	22293	22341	22309
245	191868096	103	20949	20949	20949	20949	20933
246	192057029	103	19492	19476	19460	19476	19492
247	192248043	105	19620	19620	19604	19620	19620
248	192448417	103	20404	20404	20388	20388	20404
249	192647511	103	21157	21125	21125	21109	21125
250	192837269	103	25110	25078	25046	25030	25030
251	193039123	104	21093	21077	21061	21093	21061
252	193234975	106	20052	20052	20052	20052	20052
253	193428411	102	22357	22325	22309	22325	22309
254	193626837	105	18468	18452	18452	18468	18468
255	193818758	106	19716	19684	19652	19652	19652
256	194012505	113	22229	22181	22165	22181	22165
257	194212531	109	20933	20917	20917	20901	20917
258	194409075	110	20581	20613	20629	20629	20629
259	194873727	103	23029	22997	22997	23013	22981
260	195071414	106	19860	19860	19860	19860	19844
261	195265282	104	21813	21781	21765	21781	21781
262	195461831	110	21989	21973	21973	21973	21957
263	195653499	118	19028	18980	18980	18980	18980
264	195847945	105	19124	19172	19124	19124	19124
265	196050162	107	20581	20581	20565	20565	20533
266	196245357	103	26134	26086	26038	25990	25926
267	196439874	111	19268	19220	19220	19220	19204
268	196639881	104	26534	26422	26390	26310	26246
269	196831495	108	19780	19764	19780	19764	19764
270	197044179	108	19844	19860	19860	19860	19812
271	197240964	103	20789	20773	20757	20757	20757
272	197436360	112	21877	21861	21893	21861	21861
273	197629441	108	23301	23301	23301	23301	23269
274	197831226	109	22533	22501	22533	22485	22533
275	198025120	108	20276	20292	20292	20276	20292
276	198218120	109	17300	17284	17284	17284	17284
277	198412088	103	20885	20885	20869	20869	20917
278	198608510	109	22789	22757	22741	22709	22709
279	198805944	116	19956	19956	19956	19972	19972
280	198998095	103	21893	21845	21845	21845	21845
281	199468584	104	19540	19540	19524	19524	19524
282	199670843	104	23189	23173	23173	23141	23125
283	199860815	116	26214	26134	26070	25974	25942
284	200052902	110	21269	21253	21253	21253	21269
285	200244851	104	20581	20565	20533	20549	20549
286	200444795	108	21381	21381	21413	21397	21381
287	200635111	122	21925	21909	21893	21909	21893
288	200837018	104	19300	19268	19284	19268	19268
289	201034580	102	24646	24630	24598	24598	24598
290	201226732	120	19764	19780	19780	19764	19748
291	201429424	109	17076	17060	17060	17076	17076
292	201629655	105	22437	22405	22405	22405	22421
293	201822281	107	23109	23077	23061	23061	23061
294	202009821	106	18596	18612	18612	18612	18580
295	202205621	103	18308	18292	18276	18308	18276
296	202396127	102	21605	21669	21637	21653	21605
297	202592890	99	20629	20613	20661	20597	20613
298	202800580	111	24565	24565	24565	24533	24533
299	202994725	105	21157	21157	21205	21141	21157
300	203194037	102	26646	26534	26502	26422	26374
301	203386963	110	22549	22581	22565	22581	22565
302	203860318	107	20052	20052	20036	20052	20036
303	204059018	102	23253	23269	23253	23221	23237
304	204251295	116	23733	23717	23717	23717	23701
